Country,First Opening,country_code,outlets_per_mil,num_outlets,lat,long
USA,5/15/1940,USA,40.807,13375,42.34,-71.02
USA,5/15/1940,USA,40.807,13375,40.03,-105.25
USA,5/15/1940,USA,40.807,13375,40.88,-111.87
USA,5/15/1940,USA,40.807,13375,41.74,-70.61
USA,5/15/1940,USA,40.807,13375,38.96,-76.74
USA,5/15/1940,USA,40.807,13375,36.97,-86.44
USA,5/15/1940,USA,40.807,13375,26.53,-80.08
USA,5/15/1940,USA,40.807,13375,27.49,-82.58
USA,5/15/1940,USA,40.807,13375,27.93,-82.29
USA,5/15/1940,USA,40.807,13375,33.92,-117.87
USA,5/15/1940,USA,40.807,13375,47.55,-122.7
USA,5/15/1940,USA,40.807,13375,37.93,-121.71
USA,5/15/1940,USA,40.807,13375,40.78,-73.25
USA,5/15/1940,USA,40.807,13375,41.77,-70.08
USA,5/15/1940,USA,40.807,13375,40.06,-74.11
USA,5/15/1940,USA,40.807,13375,41.19,-73.2
USA,5/15/1940,USA,40.807,13375,41.99,-70.97
USA,5/15/1940,USA,40.807,13375,41.68,-72.94
USA,5/15/1940,USA,40.807,13375,42.08,-71.03
USA,5/15/1940,USA,40.807,13375,36.04,-95.79
USA,5/15/1940,USA,40.807,13375,43.06,-88.12
USA,5/15/1940,USA,40.807,13375,42.32,-71.14
USA,5/15/1940,USA,40.807,13375,45.11,-93.35
USA,5/15/1940,USA,40.807,13375,39.94,-105.06
USA,5/15/1940,USA,40.807,13375,25.93,-97.48
USA,5/15/1940,USA,40.807,13375,30.67,-96.37
USA,5/15/1940,USA,40.807,13375,33.86,-118
USA,5/15/1940,USA,40.807,13375,42.89,-78.86
USA,5/15/1940,USA,40.807,13375,42.17,-87.96
USA,5/15/1940,USA,40.807,13375,34.19,-118.33
USA,5/15/1940,USA,40.807,13375,38.78,-77.27
USA,5/15/1940,USA,40.807,13375,36.08,-79.45
USA,5/15/1940,USA,40.807,13375,44.76,-93.28
USA,5/15/1940,USA,40.807,13375,34.22,-119.03
USA,5/15/1940,USA,40.807,13375,42.38,-71.12
USA,5/15/1940,USA,40.807,13375,39.94,-75.11
USA,5/15/1940,USA,40.807,13375,40.81,-81.37
USA,5/15/1940,USA,40.807,13375,42.31,-83.48
USA,5/15/1940,USA,40.807,13375,26.64,-82
USA,5/15/1940,USA,40.807,13375,33.12,-117.29
USA,5/15/1940,USA,40.807,13375,39.97,-86.11
USA,5/15/1940,USA,40.807,13375,38.63,-121.32
USA,5/15/1940,USA,40.807,13375,25.94,-80.27
USA,5/15/1940,USA,40.807,13375,41.92,-88.13
USA,5/15/1940,USA,40.807,13375,32.99,-96.9
USA,5/15/1940,USA,40.807,13375,33.84,-118.26
USA,5/15/1940,USA,40.807,13375,39.15,-119.74
USA,5/15/1940,USA,40.807,13375,35.78,-78.8
USA,5/15/1940,USA,40.807,13375,32.32,-110.99
USA,5/15/1940,USA,40.807,13375,42.83,-106.33
USA,5/15/1940,USA,40.807,13375,39.38,-104.85
USA,5/15/1940,USA,40.807,13375,37.71,-122.06
USA,5/15/1940,USA,40.807,13375,32.3,-110.92
USA,5/15/1940,USA,40.807,13375,33.83,-116.46
USA,5/15/1940,USA,40.807,13375,39.26,-76.74
USA,5/15/1940,USA,40.807,13375,32.58,-96.96
USA,5/15/1940,USA,40.807,13375,30.51,-97.83
USA,5/15/1940,USA,40.807,13375,41.97,-91.67
USA,5/15/1940,USA,40.807,13375,39.6,-104.85
USA,5/15/1940,USA,40.807,13375,38.85,-77.44
USA,5/15/1940,USA,40.807,13375,37.6,-120.96
USA,5/15/1940,USA,40.807,13375,33.87,-118.07
USA,5/15/1940,USA,40.807,13375,40.11,-88.26
USA,5/15/1940,USA,40.807,13375,33.3,-111.87
USA,5/15/1940,USA,40.807,13375,38.88,-77.41
USA,5/15/1940,USA,40.807,13375,35.93,-79.04
USA,5/15/1940,USA,40.807,13375,32.79,-79.99
USA,5/15/1940,USA,40.807,13375,38.35,-81.63
USA,5/15/1940,USA,40.807,13375,35.2,-80.83
USA,5/15/1940,USA,40.807,13375,35.07,-85.26
USA,5/15/1940,USA,40.807,13375,42.91,-78.75
USA,5/15/1940,USA,40.807,13375,39.9,-75
USA,5/15/1940,USA,40.807,13375,36.68,-76.31
USA,5/15/1940,USA,40.807,13375,38.65,-90.58
USA,5/15/1940,USA,40.807,13375,41.15,-104.79
USA,5/15/1940,USA,40.807,13375,41.84,-87.68
USA,5/15/1940,USA,40.807,13375,39.75,-121.81
USA,5/15/1940,USA,40.807,13375,42.18,-72.57
USA,5/15/1940,USA,40.807,13375,34.01,-117.69
USA,5/15/1940,USA,40.807,13375,33.97,-117.75
USA,5/15/1940,USA,40.807,13375,32.63,-117.04
USA,5/15/1940,USA,40.807,13375,41.84,-87.76
USA,5/15/1940,USA,40.807,13375,39.14,-84.51
USA,5/15/1940,USA,40.807,13375,38.69,-121.29
USA,5/15/1940,USA,40.807,13375,36.56,-87.35
USA,5/15/1940,USA,40.807,13375,27.98,-82.77
USA,5/15/1940,USA,40.807,13375,41.48,-81.68
USA,5/15/1940,USA,40.807,13375,41.51,-81.56
USA,5/15/1940,USA,40.807,13375,40.86,-74.16
USA,5/15/1940,USA,40.807,13375,42.59,-82.92
USA,5/15/1940,USA,40.807,13375,36.82,-119.7
USA,5/15/1940,USA,40.807,13375,26.28,-80.18
USA,5/15/1940,USA,40.807,13375,47.7,-116.78
USA,5/15/1940,USA,40.807,13375,30.6,-96.31
USA,5/15/1940,USA,40.807,13375,38.86,-104.76
USA,5/15/1940,USA,40.807,13375,34.06,-117.32
USA,5/15/1940,USA,40.807,13375,34.04,-80.89
USA,5/15/1940,USA,40.807,13375,38.95,-92.33
USA,5/15/1940,USA,40.807,13375,39.2,-76.86
USA,5/15/1940,USA,40.807,13375,32.51,-84.87
USA,5/15/1940,USA,40.807,13375,39.21,-85.91
USA,5/15/1940,USA,40.807,13375,39.99,-82.99
USA,5/15/1940,USA,40.807,13375,33.89,-118.23
USA,5/15/1940,USA,40.807,13375,37.97,-122
USA,5/15/1940,USA,40.807,13375,43.23,-71.56
USA,5/15/1940,USA,40.807,13375,35.41,-80.59
USA,5/15/1940,USA,40.807,13375,30.32,-95.47
USA,5/15/1940,USA,40.807,13375,35.09,-92.45
USA,5/15/1940,USA,40.807,13375,45.17,-93.31
USA,5/15/1940,USA,40.807,13375,32.96,-96.99
USA,5/15/1940,USA,40.807,13375,25.7,-80.26
USA,5/15/1940,USA,40.807,13375,26.27,-80.26
USA,5/15/1940,USA,40.807,13375,33.87,-117.57
USA,5/15/1940,USA,40.807,13375,27.71,-97.29
USA,5/15/1940,USA,40.807,13375,44.57,-123.28
USA,5/15/1940,USA,40.807,13375,33.67,-117.91
USA,5/15/1940,USA,40.807,13375,41.24,-95.86
USA,5/15/1940,USA,40.807,13375,25.95,-80.32
USA,5/15/1940,USA,40.807,13375,34.09,-117.88
USA,5/15/1940,USA,40.807,13375,39.04,-84.51
USA,5/15/1940,USA,40.807,13375,41.77,-71.48
USA,5/15/1940,USA,40.807,13375,42.23,-88.33
USA,5/15/1940,USA,40.807,13375,34.01,-118.4
USA,5/15/1940,USA,40.807,13375,37.31,-122.05
USA,5/15/1940,USA,40.807,13375,41.17,-81.52
USA,5/15/1940,USA,40.807,13375,33.82,-118.04
USA,5/15/1940,USA,40.807,13375,38.65,-77.34
USA,5/15/1940,USA,40.807,13375,32.79,-96.77
